subject_id,subject_type_id,subject_name,credits,havePrerequisite,prerequisite_id
SI331,2,ภาษาจีนในชีวิตประจำวัน,3,1,"SI213,SI214"
SI332,2,การอ่านภาษาอังกฤษด้านจีนศึกษา,3,1,"SI213,SI214"
SI333,2,ประวัติศาสตร์และอารยธรรมจีน,3,1,"SI213,SI214"
SI334,2,การเมืองและการปกครองจีน,3,1,"SI213,SI214"
SI335,2,จีนในเศรษฐกิจโลก,3,1,"SI213,SI214"
SI336,2,สังคมและวัฒนธรรมของจีนร่วมสมัย,3,1,"SI213,SI214"
SI341,2,การอ่านภาษาอังกฤษเฉพาะเรื่องอนุภูมิภาคลุ่มแม่น้ำโขง,3,0,None
SI342,2,การเคลื่อนย้ายและการอพยพข้ามแดนในอนุภูมิภาคลุ่มแม่น้ำโขง,3,0,None
SI343,2,การเมืองการปกครองของกลุ่มประเทศในอนุภูมิภาคลุ่มแม่น้ำโขง,3,0,None
SI344,2,สังคมและวัฒนธรรมของกลุ่มประเทศในอนุภูมิภาคลุ่มแม่น้ำโขงร่วมสมัย,3,0,None
SI345,2,การค้าและการลงทุนของกลุ่มประเทศในอนุภูมิภาคลุ่มแม่น้ำโขง,3,0,None
SI346,2,อนุภูมิภาคลุ่มแม่น้ำโขงในบริบทโลก,3,0,None
SI351,2,คติชนสร้างสรรค์,3,0,None
SI352,2,กลุ่ม องค์กร และเครือข่ายทางสังคมกับการพัฒนาสังคม,3,0,None
SI353,2,การสื่อสารเพื่อการจัดการ,3,0,None
SI354,2,การพัฒนาทุนมนุษย์และผู้ประกอบการทางสังคม,3,0,None
SI355,2,ล้านนาศึกษา,3,0,None
SI356,2,การจัดการทรัพยากรทางสังคมและวัฒนธรรม,3,0,None
SI361,2,อุตสาหกรรมการท่องเที่ยวในบริบทแห่งยุคโลกาภิวัตน์,3,0,None
SI362,2,ภูมิศาสตร์และทรัพยากรการท่องเที่ยว,3,0,None
SI363,2,สังคมวิทยาการท่องเที่ยว,3,0,None
SI364,2,การจัดการธุรกิจท่องเที่ยวร่วมสมัย,3,0,None
SI365,2,งานมัคคุเทศก์กับการท่องเที่ยวในอาเซียน,3,0,None
